Sell_to_Customer_Name,DOMAIN,Shortcut_Dimension_Code,City,Customer_ID,TOTAL,SUM_TOTAL,Description,Currency_Code,Quantity,Unit_Price,Size,Gen_ Bus_ Posting Group,Document_Type,Order_Date_Year,Order_Date_M&Y,Global_Dimension_Code,Gen_ Bus_ Posting_Group,Gen_Prod_ Posting_Group
LiveSpot 360,Media and Entertainment Sector,Others,LAGOS,00197,1548488.13,0,ESS Portal,NGN,1,1500000,Small Quanity,DOMESTIC,0,2019,Oct-91,MS-NAV,DOMESTIC,SOFTWARE
LiveSpot 360,Media and Entertainment Sector,Others,LAGOS,00197,1548488.13,0,Business Central,USD,1,35635,Small Quanity,DOMESTIC,0,2019,Nov-91,MS-NAV,DOMESTIC,SOFTWARE
LiveSpot 360,Media and Entertainment Sector,Others,LAGOS,00197,1548488.13,1548488.13,Azure,USD,1,5953.13,Small Quanity,DOMESTIC,0,2019,Dec-91,MS-NAV,DOMESTIC,SOFTWARE
KAM Industries Limited,Manufacturing and Industrial Sector,MS-NAV,KWARA STATE,00154,4850.56,0,Object Licenses,USD,1,3898,Small Quanity,DOMESTIC,0,2019,Jan-92,MS-NAV,DOMESTIC,SOFTWARE
KAM Industries Limited,Manufacturing and Industrial Sector,Others,KWARA STATE,00154,4850.56,4850.56,SQL Server License ,USD,1,952.56,Small Quanity,DOMESTIC,0,2018,Feb-92,MS-NAV,DOMESTIC,SOFTWARE
Orange Drugs Limited,Manufacturing and Industrial Sector,Others,LAGOS,00185,1754620.8,0,Team Member User Licenses,NGN,1,1016160,Small Quanity,DOMESTIC,0,2019,Mar-92,MS-NAV,DOMESTIC,SOFTWARE
Orange Drugs Limited,Manufacturing and Industrial Sector,Others,LAGOS,00185,1754620.8,1754620.8,SQL Cal License,NGN,1,738460.8,Small Quanity,DOMESTIC,0,2019,Apr-92,MS-NAV,DOMESTIC,SOFTWARE
Continental Broadcasting Service Limited,Media and Entertainment Sector,Others,LAGOS,00126,81602.4,81602.4,Office ProPlus Licenses,USD,150,544.016,Large Quantity,DOMESTIC,0,2020,May-92,MS-NAV,DOMESTIC,SOFTWARE
EAST CANTONMENTS PHARMACY LIMITED,Pharmaceuticals and Healthcare Sector,Others,ACCRA,00150,13584,13584,Microsoft Dynamics NAV License,USD,1,13584,Small Quanity,DOMESTIC,0,2019,Jun-92,MS-NAV,DOMESTIC,SOFTWARE
SIFAX Group,"Logistics, Maritime, and transportation sector",Others,LAGOS,00006,16800,16800,Microsoft Office 365 E3 Plan,USD,70,240,Large Quantity,DOMESTIC,0,2019,Jul-92,MS-NAV,DOMESTIC,SOFTWARE
FilmoRealty Limited ,Construction and Infrastructure Development Sector,Others,LAGOS,00133,1138800,0,Licenses,NGN,32,21900,Large Quantity,DOMESTIC,0,2019,Aug-92,MS-NAV,DOMESTIC,SOFTWARE
FilmoRealty Limited ,Construction and Infrastructure Development Sector,Others,LAGOS,00133,1138800,1138800,Licenses,NGN,8,54750,Small Quanity,DOMESTIC,0,2019,Sep-92,MS-NAV,DOMESTIC,SOFTWARE
Vatebra Limited,Technology and Digital Solutions Sector,Others,LAGOS,00100,2400,2400,Social Enagagement License,USD,2,1200,Small Quanity,DOMESTIC,0,2018,Oct-92,MS-NAV,DOMESTIC,SOFTWARE
Intels Nigeria Limited,"Logistics, Maritime and Oil and Gas Sector",Others,RIVERS,00068,4560,4560,SharePoint,USD,40,114,Large Quantity,DOMESTIC,0,2018,Nov-92,MS-NAV,DOMESTIC,SOFTWARE
Honeywell Flour Mills Plc,Food and Agriculture Sector,Others,LAGOS,00054,33233130,0,Enterprise User CAL,USD,1,4000,Small Quanity,DOMESTIC,0,2018,Dec-92,MS-NAV,DOMESTIC,SOFTWARE
Honeywell Flour Mills Plc,Food and Agriculture Sector,Others,LAGOS,00054,33233130,0,Functional User CAL,USD,1,1600,Small Quanity,DOMESTIC,0,2018,Jan-93,MS-NAV,DOMESTIC,SOFTWARE
Honeywell Flour Mills Plc,Food and Agriculture Sector,Others,LAGOS,00054,33233130,0,Self Serve User CAL,USD,1,120,Small Quanity,DOMESTIC,0,2018,Feb-93,MS-NAV,DOMESTIC,SOFTWARE
Honeywell Flour Mills Plc,Food and Agriculture Sector,Others,LAGOS,00054,33233130,0,Task User CAL,USD,1,400,Small Quanity,DOMESTIC,0,2018,Mar-93,MS-NAV,DOMESTIC,SOFTWARE
Honeywell Flour Mills Plc,Food and Agriculture Sector,Others,LAGOS,00054,33233130,0,Microsft Business Standard license,NGN,100,85500,Large Quantity,DOMESTIC,1,2021,Apr-93,MS-NAV,DOMESTIC,SOFTWARE
Honeywell Flour Mills Plc,Food and Agriculture Sector,Others,LAGOS,00054,33233130,0,Additional users for Microsft Business Standard,NGN,100,85500,Large Quantity,DOMESTIC,1,2021,May-93,MS-NAV,DOMESTIC,SOFTWARE
Honeywell Flour Mills Plc,Food and Agriculture Sector,Others,LAGOS,00054,33233130,0,Additional Microsoft 365 Business Standard,NGN,100,85500,Large Quantity,DOMESTIC,1,2021,Jun-93,MS-NAV,DOMESTIC,SOFTWARE
Honeywell Flour Mills Plc,Food and Agriculture Sector,Others,LAGOS,00054,33233130,33233130,Microsft Business,NGN,100,85500,Large Quantity,DOMESTIC,1,2021,Jul-93,MS-NAV,DOMESTIC,SOFTWARE
Technology Distribution Company Limited,Technology and Digital Solutions Sector,MS-AX,LAGOS,00096,77880.6,0,Dynamics 365 Ent Edition Plan,USD,10,2311.5,Small Quanity,DOMESTIC,0,2017,Aug-93,MS-NAV,DOMESTIC,SOFTWARE
Technology Distribution Company Limited,Technology and Digital Solutions Sector,MS-AX,LAGOS,00096,77880.6,77880.6,MS DYNAMICS AX LICENSE,USD,1,54765.6,Small Quanity,DOMESTIC,0,2016,Sep-93,MS-NAV,DOMESTIC,SOFTWARE
Fidson Healthcare Plc,Pharmaceuticals and Healthcare Sector,Others,LAGOS,00130,12666960,0,Office 365 Business,NGN,150,52560,Large Quantity,DOMESTIC,0,2018,Oct-93,MS-NAV,DOMESTIC,SOFTWARE
Fidson Healthcare Plc,Pharmaceuticals and Healthcare Sector,Others,LAGOS,00130,12666960,0,Office 365 Business,NGN,220,20367,Large Quantity,DOMESTIC,0,2018,Nov-93,MS-NAV,DOMESTIC,SOFTWARE
Fidson Healthcare Plc,Pharmaceuticals and Healthcare Sector,Others,LAGOS,00130,12666960,12666960,Office 365 Enterprise E5,NGN,2,151110,Small Quanity,DOMESTIC,0,2018,Dec-93,MS-NAV,DOMESTIC,SOFTWARE
Notore Chemical Industries Limited,Agriculture and Chemical Manufacturing Sector,Others,RIVERS,00041,6286,0,Code Units,USD,1,480,Small Quanity,DOMESTIC,0,2017,Jan-94,MS-NAV,DOMESTIC,SOFTWARE
Notore Chemical Industries Limited,Agriculture and Chemical Manufacturing Sector,Others,RIVERS,00041,6286,0,SQL Server License ,USD,10,76,Small Quanity,DOMESTIC,0,2017,Feb-94,MS-NAV,DOMESTIC,SOFTWARE
Notore Chemical Industries Limited,Agriculture and Chemical Manufacturing Sector,MS-NAV,RIVERS,00041,6286,0,Others,USD,0,3336,Small Quanity,DOMESTIC,0,2017,Mar-94,MS-NAV,DOMESTIC,SOFTWARE
Notore Chemical Industries Limited,Agriculture and Chemical Manufacturing Sector,Others,RIVERS,00041,6286,0,SQL Server License ,USD,1,6,Small Quanity,DOMESTIC,0,2017,Apr-94,MS-NAV,DOMESTIC,SOFTWARE
Notore Chemical Industries Limited,Agriculture and Chemical Manufacturing Sector,Others,RIVERS,00041,6286,0,Limited Concurrent CAL ,USD,10,360,Small Quanity,DOMESTIC,0,2017,May-94,MS-NAV,DOMESTIC,SOFTWARE
Notore Chemical Industries Limited,Agriculture and Chemical Manufacturing Sector,Others,RIVERS,00041,6286,0,Tables,USD,1,480,Small Quanity,DOMESTIC,0,2017,Jun-94,MS-NAV,DOMESTIC,SOFTWARE
Notore Chemical Industries Limited,Agriculture and Chemical Manufacturing Sector,Others,RIVERS,00041,6286,0,Reports,USD,1,480,Small Quanity,DOMESTIC,0,2017,Jul-94,MS-NAV,DOMESTIC,SOFTWARE
Notore Chemical Industries Limited,Agriculture and Chemical Manufacturing Sector,Others,RIVERS,00041,6286,0,Pages,USD,1,480,Small Quanity,DOMESTIC,0,2017,Aug-94,MS-NAV,DOMESTIC,SOFTWARE
Notore Chemical Industries Limited,Agriculture and Chemical Manufacturing Sector,MS-NAV,RIVERS,00041,6286,6286,Others,USD,0,20850,Small Quanity,DOMESTIC,0,2017,Sep-94,MS-NAV,DOMESTIC,SOFTWARE
MOUKA LIMITED,Manufacturing and Industrial Sector,Others,LAGOS,00118,480,480,Tables,USD,1,480,Small Quanity,DOMESTIC,0,2017,Oct-94,MS-NAV,DOMESTIC,SOFTWARE
Flour Mills of Nig. Plc.,Agriculture and Food Processing Sector,Others,LAGOS,00001,18767,0,Full Concurrent CAL ,USD,10,1800,Small Quanity,DOMESTIC,0,2017,Nov-94,MS-NAV,DOMESTIC,SOFTWARE
Flour Mills of Nig. Plc.,Agriculture and Food Processing Sector,Others,LAGOS,00001,18767,0,SQL Server License ,USD,10,76,Small Quanity,DOMESTIC,0,2017,Dec-94,MS-NAV,DOMESTIC,SOFTWARE
Flour Mills of Nig. Plc.,Agriculture and Food Processing Sector,Others,LAGOS,00001,18767,18767,SQL Server License ,USD,1,7,Small Quanity,DOMESTIC,0,2017,Jan-95,MS-NAV,DOMESTIC,SOFTWARE
Lababidi Holdings Limited,Construction and Infrastructure Development Sector,MS-AX,LAGOS,00039,12661.6,12661.6,MS DYNAMICS AX LICENSE,USD,1,12661.6,Small Quanity,DOMESTIC,0,2016,Feb-95,MS-NAV,DOMESTIC,SOFTWARE
Fan Milk Plc,Food and Beverage Sector,Others,IBADAN,00023,2666220,0,Limited Concurrent CAL ,NGN,20,133200,Large Quantity,DOMESTIC,0,2017,Mar-95,MS-NAV,DOMESTIC,SOFTWARE
Fan Milk Plc,Food and Beverage Sector,Others,IBADAN,00023,2666220,2666220,SQL Server License ,NGN,1,2220,Small Quanity,DOMESTIC,0,2017,Apr-95,MS-NAV,DOMESTIC,SOFTWARE
IHS Nigeria Plc,Telecommunications Infrastructure Sector,Others,LAGOS,00079,5506660,5506660,THE MICROSOFT DYNAMICS NAV PERPETUAL ,NGN,1,5506660,Small Quanity,DOMESTIC,0,2015,May-95,MS-NAV,DOMESTIC,SOFTWARE
Murphy Shipping & Commercial Services Limited,Logistics and Transportation Sector,Others,LAGOS,00043,1000000,1000000,50% of software implementation fee in advance,NGN,1,1000000,Small Quanity,DOMESTIC,0,2015,Jun-95,MS-NAV,DOMESTIC,SOFTWARE
FRIGOGLASS WEST AFRICA LIMITED,Manufacturing and Industrial Sector,Others,IBADAN,00104,18792,0,CONCURRENT USER CAL,NGN,5,360,Small Quanity,DOMESTIC,0,2015,Jul-95,MS-NAV,DOMESTIC,SOFTWARE
FRIGOGLASS WEST AFRICA LIMITED,Manufacturing and Industrial Sector,Others,IBADAN,00104,18792,0,CONVERTED FULL CONCURRENT USER CAL,USD,10,1440,Small Quanity,DOMESTIC,0,2015,Aug-95,MS-NAV,DOMESTIC,SOFTWARE
FRIGOGLASS WEST AFRICA LIMITED,Manufacturing and Industrial Sector,Others,IBADAN,00104,18792,18792,BUSINESS READY ENHANCEMENT PLAN,USD,1,2592,Small Quanity,DOMESTIC,0,2015,Sep-95,MS-NAV,DOMESTIC,SOFTWARE
Abiola Adewale,Retail & Commerce Sector,Others,LAGOS,null,13185,13185,THE MICROSOFT DYNAMICS NAV PERPETUAL ,USD,1,13185,Small Quanity,DOMESTIC,0,2014,Oct-95,MS-NAV,DOMESTIC,SOFTWARE
Shoreline Power Company Limited,Energy Sector,Others,LAGOS,00010,26873,26873,THE MICROSOFT DYNAMICS NAV PERPETUAL ,USD,1,26873,Small Quanity,DOMESTIC,0,2014,Nov-95,MS-NAV,DOMESTIC,SOFTWARE
Goldlink Insurance Plc,Insurance Sector,Others,LAGOS,00092,17010,17010,THE MICROSOFT DYNAMICS CRM 2013 LICENSE,USD,1,17010,Small Quanity,DOMESTIC,0,2014,Dec-95,MS-NAV,DOMESTIC,SOFTWARE
WECO Systems International Ltd,Technology and Digital Solutions Sector,MS-NAV,LAGOS,00024,41890.8,0,Business Ready Enhancement Plan,USD,1,9175.2,Small Quanity,DOMESTIC,0,2014,Jan-96,MS-NAV,DOMESTIC,SOFTWARE
WECO Systems International Ltd,Technology and Digital Solutions Sector,MS-NAV,LAGOS,00024,41890.8,41890.8,Lapsed Period,USD,1096,29.85,Large Quantity,DOMESTIC,0,2014,Feb-96,MS-NAV,DOMESTIC,SOFTWARE
TKJ International Limited,"Engineering, Procurement and Construction Sector",Others,LAGOS,00093,11020,11020,THE MICROSOFT DYNAMICS AX 2012 R3 LICENSE,USD,1,11020,Small Quanity,DOMESTIC,0,2014,Mar-96,MS-NAV,DOMESTIC,SOFTWARE
DANGOTE PEUGEOT AUTOMOBILE NIGERIA,Automotive Manufacturing Sector,Others,KADUNA,00237,10000,10000,Payroll Module,USD,1,10000,Small Quanity,DOMESTIC,1,2024,Apr-96,MS-NAV,DOMESTIC,SOFTWARE
IHS Holding Limited,Telecommunications Infrastructure Sector,Others,LAGOS,00079,0,0,Licenses,NGN,1,0,Small Quanity,DOMESTIC,0,2014,May-96,MS-NAV,DOMESTIC,SOFTWARE
Chicason Group,"Manufacturing, Real estate and Investment Sector",MS-AX,LAGOS,00137,452848.92,0,Others,USD,1,40471.8,Small Quanity,DOMESTIC,1,2024,Jun-96,MS-NAV,DOMESTIC,SOFTWARE
Chicason Group,"Manufacturing, Real estate and Investment Sector",MS-AX,LAGOS,00137,452848.92,0,Others,USD,1,40471.8,Small Quanity,DOMESTIC,1,2024,Jul-96,MS-NAV,DOMESTIC,SOFTWARE
Chicason Group,"Manufacturing, Real estate and Investment Sector",MS-AX,LAGOS,00137,452848.92,0,Others,USD,1,40471.8,Small Quanity,DOMESTIC,1,2024,Aug-96,MS-NAV,DOMESTIC,SOFTWARE
Chicason Group,"Manufacturing, Real estate and Investment Sector",MS-AX,LAGOS,00137,452848.92,0,Decemeber 2024,USD,1,40471.8,Small Quanity,DOMESTIC,1,2024,Sep-96,MS-NAV,DOMESTIC,SOFTWARE
Chicason Group,"Manufacturing, Real estate and Investment Sector",MS-AX,LAGOS,00137,452848.92,0,Bal. on 2022-2023 renewal,USD,1,10133.76,Small Quanity,DOMESTIC,1,2023,Oct-96,MS-NAV,DOMESTIC,SOFTWARE
Chicason Group,"Manufacturing, Real estate and Investment Sector",MS-AX,LAGOS,00137,452848.92,0,Others,USD,1,57267.6,Small Quanity,DOMESTIC,1,2023,Nov-96,MS-NAV,DOMESTIC,SOFTWARE
Chicason Group,"Manufacturing, Real estate and Investment Sector",MS-AX,LAGOS,00137,452848.92,0,Others,USD,1,57267.6,Small Quanity,DOMESTIC,1,2023,Dec-96,MS-NAV,DOMESTIC,SOFTWARE
Chicason Group,"Manufacturing, Real estate and Investment Sector",MS-AX,LAGOS,00137,452848.92,0,Others,USD,1,57267.6,Small Quanity,DOMESTIC,1,2023,Jan-97,MS-NAV,DOMESTIC,SOFTWARE
Chicason Group,"Manufacturing, Real estate and Investment Sector",MS-AX,LAGOS,00137,452848.92,0,Others,USD,1,57267.6,Small Quanity,DOMESTIC,1,2023,Feb-97,MS-NAV,DOMESTIC,SOFTWARE
Chicason Group,"Manufacturing, Real estate and Investment Sector",Others,LAGOS,00137,452848.92,0, Balance on May Payment due 1st of May 2023,USD,1,7292.6,Small Quanity,DOMESTIC,0,2023,Mar-97,MS-NAV,DOMESTIC,SOFTWARE
Chicason Group,"Manufacturing, Real estate and Investment Sector",Others,LAGOS,00137,452848.92,0,Balance on 2022-2023 license renewal,USD,1,10133.76,Small Quanity,DOMESTIC,0,2023,Apr-97,MS-NAV,DOMESTIC,SOFTWARE
Chicason Group,"Manufacturing, Real estate and Investment Sector",Others,LAGOS,00137,452848.92,0,MS DYN 365 FO,USD,1,7165.6,Small Quanity,DOMESTIC,0,2022,May-97,MS-NAV,DOMESTIC,SOFTWARE
Chicason Group,"Manufacturing, Real estate and Investment Sector",Others,LAGOS,00137,452848.92,452848.92,MS DYN 365 FO,USD,1,27165.6,Small Quanity,DOMESTIC,0,2022,Jun-97,MS-NAV,DOMESTIC,SOFTWARE
National Agency for Control of Aids,Public Health and Disease Control Sector,Others,ABUJA,00252,19.99,19.99,Business Central SSL Certificate,USD,1,19.99,Small Quanity,DOMESTIC,1,2024,Jul-97,MS-NAV,DOMESTIC,SOFTWARE
Federal Capital Territory Internal Revenue Service,Government and Public Administration Sector,MS-AX,ABUJA,00242,5669440,0,Supply Chain Attach License ,NGN,5,424800,Small Quanity,DOMESTIC,1,2022,Aug-97,MS-NAV,DOMESTIC,SOFTWARE
Federal Capital Territory Internal Revenue Service,Government and Public Administration Sector,MS-AX,ABUJA,00242,5669440,0,Azure - Dev. Environment,NGN,1,3540000,Small Quanity,DOMESTIC,1,2022,Sep-97,MS-NAV,DOMESTIC,SOFTWARE
Federal Capital Territory Internal Revenue Service,Government and Public Administration Sector,Others,ABUJA,00242,5669440,0,Azure - Dev. Environment,USD,1,3340,Small Quanity,DOMESTIC,0,2022,Oct-97,MS-NAV,DOMESTIC,SOFTWARE
Federal Capital Territory Internal Revenue Service,Government and Public Administration Sector,Others,ABUJA,00242,5669440,5669440,Supply Chain Attach License ,USD,10,210,Small Quanity,DOMESTIC,0,2022,Nov-97,MS-NAV,DOMESTIC,SOFTWARE
Midwestern Oil and Gas,Oil and Gas Sector,MS-AX,LAGOS,00182,168940.02,0,Licenses,USD,1,92591.04,Small Quanity,DOMESTIC,1,2024,Dec-97,MS-NAV,DOMESTIC,SOFTWARE
